YMD,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345
20090101,3600.744737,3426.398586,3314.599975,3197.954177,3051.266703,2955.745468,2872.087915,2813.254408,2732.812405,2672.919173,2597.8306,2556.566703,2536.378384,2493.945637,2458.199876,2443.878602,2430.211884,2432.725251,2374.829055,2372.535781,2363.410312,2401.641407,2372.898076,2402.447574,2403.662014,2395.719848,2413.93315,2438.63905,2486.15935,2509.984005,2582.075666,2672.326891,2760.320732,2869.520325,2957.844839,3067.115242,3126.265745,3223.389614,3288.792446,3377.523487,3429.739169,3475.814363,3511.353902,3556.151703,3635.739815,3723.104902,3766.290272,3777.573215,3675.931086,3559.226118,3488.733211,3408.331172,3341.048577,3306.863158,3271.014868,3267.231965,3215.051785,3183.444432,3162.443059,3148.677886,3169.12762,3171.732652,3204.230271,3242.961789,3266.303578,3315.637196,3372.067916,3432.149037,3517.043922,3643.254211,3805.400769,3974.998479,4213.415361,4481.412393,4561.767484,4527.48458,4482.988643,4422.784235,4354.299713,4308.351686,4298.727443,4263.941497,4249.823438,4238.963512,4227.858273,4199.236192,4160.23579,4111.410937,4041.728659,3965.033281,3873.772286,3743.213002,3608.203552,3430.559498,3341.001435,3172.468203
20090102,3033.102483,2899.114055,2789.596011,2691.868511,2585.348252,2473.094129,2411.498935,2359.945666,2310.153626,2250.349828,2240.506559,2181.292327,2178.488445,2138.215403,2080.815362,2075.548068,2066.166616,2072.088175,2094.61303,2096.226916,2091.641241,2099.612701,2116.584112,2123.607882,2187.01426,2218.729186,2259.39954,2332.875876,2388.853606,2502.863429,2663.239737,2831.324732,3114.937212,3435.373705,3644.244581,3822.637184,3911.682796,4034.45977,4123.100213,4241.856537,4293.500016,4371.044532,4429.750872,4491.481866,4588.425412,4635.41357,4684.96699,4614.651884,4394.062147,4152.13241,4070.657163,4004.962846,3990.340387,3999.644433,4060.053026,4180.637509,4175.191735,4178.737376,4200.042747,4189.543273,4217.76552,4207.607195,4234.776119,4254.784309,4298.521415,4359.939778,4394.95542,4444.236464,4507.561168,4644.046958,4683.286562,4781.626423,4976.437731,5192.667221,5314.733767,5307.147106,5287.712089,5277.627484,5241.578404,5192.575362,5137.786949,5107.781842,5074.053487,5043.926645,5025.341736,4988.955872,4900.348215,4836.217344,4742.207369,4639.005189,4554.09847,4417.027188,4255.111587,4013.816036,3840.07468,3723.161065
20090103,3601.382512,3405.244729,3280.784223,3164.196916,3053.336974,2962.821036,2868.048059,2839.031867,2737.142582,2717.847924,2707.451464,2669.95398,2625.217483,2586.934396,2562.891588,2549.528771,2527.944913,2509.92241,2498.132739,2502.372512,2490.466344,2535.191201,2519.283298,2569.278068,2591.748215,2682.914926,2703.894474,2771.817948,2799.842994,2884.894922,3063.924815,3217.94384,3509.48704,3893.161422,4072.479211,4232.888208,4301.861998,4471.749835,4543.965074,4664.815822,4713.152862,4772.884589,4835.796752,4865.721834,4900.935065,4973.447221,4979.956891,4909.554194,4633.25241,4351.031201,4281.791825,4216.0913,4195.269474,4271.853981,4372.40583,4511.985338,4559.010938,4556.831736,4552.78315,4558.817714,4532.810074,4523.943207,4571.716677,4592.982763,4627.862023,4687.443109,4765.134095,4791.887665,4844.551875,4938.369111,4997.714778,5048.042549,5167.632879,5364.012483,5461.860748,5463.125337,5439.762887,5439.513306,5397.738898,5364.638618,5335.455198,5296.490395,5280.485395,5267.222779,5229.126611,5163.130139,5112.055468,5036.428545,4934.513652,4835.540575,4688.076422,4518.970502,4316.968002,4116.674836,3917.723471,3789.420407
20090104,3623.907755,3475.551784,3350.20625,3230.340634,3146.438738,3055.680979,2990.075999,2933.750912,2842.643565,2826.926073,2798.474421,2733.358709,2695.761703,2686.391406,2689.292676,2672.671241,2654.144144,2605.031007,2619.012587,2598.674112,2610.43866,2650.862537,2679.606644,2720.765296,2762.397114,2829.148149,2919.298688,2998.366007,3106.286558,3248.333067,3375.788836,3523.901337,3824.214889,4141.360172,4342.878545,4511.483848,4620.777434,4732.037113,4845.864285,4935.704909,4957.05199,5009.203264,5072.272664,5096.106825,5158.201472,5231.889753,5236.693775,5148.274104,4873.929392,4566.755806,4512.337739,4417.65148,4385.124276,4427.282319,4478.472032,4622.254162,4628.653446,4699.350247,4690.902032,4706.886274,4716.035411,4698.009901,4734.01407,4780.691052,4813.929654,4866.650609,4912.791472,4945.183264,5015.37324,5067.584654,5107.185098,5180.072838,5316.277328,5513.361637,5646.217105,5657.373075,5604.985897,5556.641291,5527.712302,5477.365616,5465.218306,5423.648471,5415.298323,5401.02875,5338.169161,5272.561562,5220.444432,5124.067657,5106.696703,4935.06403,4820.396644,4649.300963,4515.647961,4296.228141,4106.600707,3892.342936
20090105,3707.639901,3562.741592,3522.530436,3394.931592,3307.297718,3207.45329,3098.801456,3133.176316,3068.278466,3065.606407,2898.797738,2886.862858,2894.059288,2947.855876,2865.676118,2863.959218,2860.826118,2795.447051,2851.578914,2892.395156,2863.346566,2895.725457,2839.096275,2881.147327,3009.792607,2980.601233,3155.273401,3189.679495,3276.867557,3409.927113,3622.773631,3786.816151,4065.4794,4412.700115,4569.743988,4740.918627,4919.270296,4985.214194,5119.986382,5199.810592,5294.393158,5315.769145,5298.287417,5348.357459,5477.004679,5546.942746,5564.017171,5431.469096,5069.134326,4845.998339,4798.898922,4717.102508,4676.082081,4667.120057,4767.646201,4998.065724,4939.495863,5050.966226,5028.50801,4993.167903,5089.999317,5026.987632,5105.454909,5075.027755,5077.853947,5143.175008,5261.67079,5208.612081,5334.487623,5397.354778,5349.113865,5426.054556,5614.959243,5766.182146,5925.185904,5855.107187,5828.727746,5821.790888,5879.404523,5758.320781,5780.310584,5739.314795,5645.166595,5695.817861,5627.350411,5625.799769,5509.592023,5359.957204,5264.789243,5173.287591,5067.10722,4895.656422,4740.786028,4357.966604,4197.128964,4163.013676
20090106,3905.797903,3790.214255,3632.276139,3498.31458,3469.530703,3312.22396,3329.810933,3196.870493,3135.849054,3181.267558,3026.279988,3067.98669,2994.606481,2930.241452,2931.805674,3001.591645,2978.772492,2965.675164,2948.145518,2884.691222,2955.198873,2964.654433,2989.637365,3030.768372,2970.190999,3099.09944,3259.202887,3384.254026,3377.574606,3530.364835,3669.574967,3785.19208,4061.513652,4557.56719,4815.153503,4916.995937,5070.991003,5121.680099,5231.107254,5350.87199,5349.209507,5489.058578,5458.891966,5456.559795,5617.563208,5622.453075,5673.026644,5452.396555,4953.265789,4965.745033,4842.942451,4737.614613,4718.312583,4755.075971,4878.241333,5070.307056,5017.85935,5097.352014,5124.460313,5141.631932,5086.54699,5222.415181,5228.097344,5270.079235,5294.681151,5222.140477,5357.073685,5468.971818,5397.312583,5497.13926,5525.185937,5534.513166,5766.637755,5883.68426,6090.90245,6093.119482,5966.172187,5861.63907,5984.613536,5917.417853,5818.417713,5716.309984,5802.963964,5751.146176,5780.993561,5557.250354,5586.173232,5479.333552,5422.984506,5218.228758,5125.098767,5008.046636,4811.314728,4532.093438,4432.433116,4249.550189
20090107,3941.560057,3893.229128,3784.450612,3607.399034,3444.161711,3398.204663,3285.198014,3203.936555,3273.63639,3215.400209,3171.098466,3074.153659,3042.703252,3065.991303,3043.065547,3010.260535,2928.862015,3020.813068,3028.595863,2964.895963,2993.639876,2995.484137,3020.049096,3036.720486,3041.147857,3136.136756,3208.358882,3442.507085,3473.766887,3641.554092,3729.853968,3912.716234,4329.950288,4638.934088,4882.992393,4941.172023,5122.226209,5254.895049,5255.935083,5251.896488,5383.236234,5331.574325,5462.869063,5608.538619,5634.74152,5653.405872,5561.4813,5417.47704,5191.51069,4926.583223,4795.529433,4743.710675,4664.270682,4767.666571,4865.158652,5071.599581,5097.468996,5142.582047,5188.555682,5098.112106,5096.93472,5138.103848,5078.718799,5179.158807,5122.344646,5187.093504,5401.055716,5349.228907,5474.312541,5451.598536,5498.728799,5729.418273,5688.595823,5956.908881,6065.079498,6015.23954,5970.391299,5974.921587,5888.518643,5897.723264,5814.583594,5804.510823,5875.054655,5797.736925,5796.017697,5696.358733,5615.837772,5590.849408,5340.740049,5271.784786,5190.60083,4931.130486,4877.688627,4532.934622,4367.889704,4111.728709
20090108,3962.208544,3854.30167,3812.846295,3683.539087,3596.147907,3425.374363,3374.691669,3348.487216,3293.859532,3160.532838,3161.547652,3148.666537,3167.658264,3077.458158,3069.991098,3123.195501,3059.991756,3060.430099,3095.213717,3124.728586,3076.733762,2979.825427,3070.208475,3168.923532,3242.031559,3255.172731,3305.428334,3370.057591,3613.280338,3590.381645,3865.45667,3887.014144,4226.850831,4624.945912,4869.003635,5027.674392,5066.285436,5211.320321,5374.73884,5308.881078,5407.256538,5388.898512,5485.438635,5530.850058,5508.229852,5632.607714,5587.672755,5469.741028,5298.479671,5025.92005,4999.253586,4813.563964,4740.817262,4890.627845,4913.127286,5095.471669,5105.194852,5047.608668,5084.058067,5156.48884,5168.06676,5190.80259,5278.119177,5220.550453,5178.033898,5283.17278,5324.447541,5361.553339,5408.167368,5391.071118,5507.28546,5608.007253,5691.618149,5889.750058,6043.391365,6076.861603,6056.655436,6139.48005,5943.812426,6006.985616,5846.108109,5807.047664,5914.920394,5770.627656,5859.298363,5674.883709,5625.2394,5567.122335,5352.076924,5342.38449,5184.236078,4919.063783,4847.943577,4688.62583,4503.565156,4161.004515
20090109,4013.283215,3995.953874,3799.470383,3670.078882,3586.819223,3468.463412,3473.044625,3442.185045,3397.141349,3314.577665,3148.19308,3152.058433,3186.098837,3202.024297,3081.484725,3064.618171,2982.669758,3062.143507,3061.554717,3106.087611,2954.760045,2982.483227,3140.184178,3173.234794,3245.290177,3313.483117,3264.24873,3441.825078,3627.352225,3667.396929,3754.332985,3967.140024,4152.789391,4617.828537,4766.134359,4946.898224,5024.470288,5165.180428,5238.344909,5418.584392,5419.519375,5512.039721,5431.823437,5532.898116,5640.797812,5666.142845,5659.81505,5499.636234,5156.251481,4987.781784,4919.431316,4870.809096,4748.980394,4892.669695,4985.36532,5229.056965,5192.177953,5219.327089,5204.188881,5134.302418,5168.5537,5088.845987,5211.478043,5255.749037,5131.059514,5274.294564,5297.233512,5337.325164,5438.878635,5408.984399,5516.117213,5592.030189,5749.971603,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,5742.856653,4876.88634,4876.259235,4876.259235,4876.259235,5847.722771,5491.251554,5440.847056,5290.948882,5385.213676,5204.967015,4833.251472,4833.251472,4611.10537,4300.394679
20090110,4191.794449,4019.286448,3937.665313,3875.994556,3544.301698,3655.377853,3655.377853,3655.377853,3655.377853,3248.455287,3157.483643,3154.024429,3154.024429,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,3144.414251,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601,4850.115601
