date,Area1_daily_max_MW,Area1_daily_min_MW,Area1_peak_valley_MW,Area1_load_factor,Area1_daily_mean_MW,Area2_daily_max_MW,Area2_daily_min_MW,Area2_peak_valley_MW,Area2_load_factor,Area2_daily_mean_MW
20140101,4454.578720,3054.560320,1400.018400,0.80485074,3585.270994,6765.535510,3748.481751,3017.053759,0.75947060,5138.225299
20140102,8035.438720,2469.126208,5566.312512,0.72005713,5785.974969,8464.700806,3278.474750,5186.226056,0.73628361,6232.420477
20140103,8421.060640,4387.608928,4033.451712,0.78671200,6624.949450,8642.119917,4141.438257,4500.681660,0.77570566,6703.741343
20140104,8391.353152,4469.639680,3921.713472,0.78131641,6556.301895,8350.459638,4269.594754,4080.864884,0.78449930,6550.929709
20140105,7412.725984,4414.332832,2998.393152,0.80158613,5941.938302,7972.794309,4137.532746,3835.261563,0.78433609,6253.350333
20140106,8400.503104,4110.038560,4290.464544,0.77620477,6520.510573,8729.255017,4042.420172,4686.834845,0.76258499,6656.798834
20140107,8481.449728,4518.522784,3962.926944,0.79047796,6704.399090,8695.937845,4205.924827,4490.013018,0.77852225,6769.981114
20140108,8546.520640,4548.341920,3998.178720,0.78882995,6741.751450,8759.741826,4331.371629,4428.370197,0.77870728,6821.274706
20140109,8498.717536,4544.301280,3954.416256,0.79095068,6722.066415,8862.603536,4375.445616,4487.157920,0.77514427,6869.796354
20140110,8524.777216,4544.385184,3980.392032,0.78606621,6701.039318,8637.344704,4401.269441,4236.075263,0.78457906,6776.679827
20140111,8268.334336,4512.001984,3756.332352,0.77940133,6444.350792,8157.456119,4233.863931,3923.592188,0.79232528,6463.358681
20140112,7050.654016,4252.012672,2798.641344,0.80518419,5677.075115,7883.878289,4113.791899,3770.086390,0.77239324,6089.454328
20140113,8291.092192,3932.942944,4358.149248,0.77049309,6388.229233,8705.490987,3970.219095,4735.271892,0.76399332,6650.937003
20140114,8275.208128,4428.933952,3846.274176,0.78964923,6534.511743,8612.529194,4272.707969,4339.821225,0.77695969,6691.587991
20140115,8210.692192,4383.656896,3827.035296,0.78604017,6453.933906,8300.758487,4227.657968,4073.100519,0.79082566,6564.452797
20140116,8037.446848,4311.656416,3725.790432,0.78814153,6334.645663,8173.567237,4112.434384,4061.132853,0.78613379,6425.517366
20140117,7870.763584,4241.474656,3629.288928,0.78527057,6180.678994,7961.160905,4048.432911,3912.727994,0.79168520,6302.733226
20140118,7519.492192,4158.366208,3361.125984,0.78034144,5867.771364,7487.698182,3941.485173,3546.213009,0.79637094,5962.985256
20140119,6528.140320,3863.853664,2664.286656,0.80175720,5233.983482,7084.100970,3847.733412,3236.367558,0.79329547,5619.785215
20140120,7062.885184,3579.056128,3483.829056,0.77635841,5483.330319,7504.964861,3665.474001,3839.490860,0.77402965,5809.065331
20140121,6811.230112,3705.961120,3105.268992,0.78469368,5344.729226,7341.719293,3705.937842,3635.781451,0.77995923,5726.241729
20140122,6373.923424,3534.133792,2839.789632,0.79400162,5060.905496,7037.511094,3590.186966,3447.324128,0.78216796,5504.515680
20140123,5854.319200,3386.210560,2468.108640,0.80305010,4701.311610,6773.017023,3505.024749,3267.992274,0.78291242,5302.679124
20140124,5166.126208,3127.138240,2038.987968,0.81259651,4197.976125,6482.204621,3414.648297,3067.556324,0.77747210,5039.733241
20140125,4322.364544,2772.006976,1550.357568,0.83426443,3605.994998,5934.384802,3152.332361,2782.052441,0.76849522,4560.546362
20140126,3739.162432,2448.938560,1290.223872,0.83631539,3127.119079,5532.934588,2931.582380,2601.352208,0.77327741,4278.493306
20140127,3527.447488,2211.010912,1316.436576,0.81725814,2882.835188,5138.067376,2678.246122,2459.821254,0.76310459,3920.882773
20140128,3169.903744,2073.782464,1096.121280,0.82233102,2606.710186,4826.422187,2476.743754,2349.678433,0.75812719,3659.041904
20140129,2772.749248,1861.146016,911.603232,0.82123107,2277.067833,4498.243833,2279.722883,2218.520950,0.74621910,3356.675444
20140130,2315.095936,1584.764032,730.331904,0.83699461,1937.722830,3907.604819,2126.590535,1781.014284,0.80444168,3143.440176
20140131,2242.059328,1396.797952,845.261376,0.76947036,1725.198189,3770.624329,2020.138467,1750.485862,0.75468070,2845.617420
20140201,2273.788768,1351.870624,921.918144,0.76572560,1741.098273,3763.699499,2002.987509,1760.711990,0.75830171,2854.019776
20140202,2361.377248,1363.981792,997.395456,0.75495903,1782.743087,3943.923462,2000.132508,1943.790954,0.73166047,2885.612898
20140203,2608.204576,1445.274880,1162.929696,0.75457705,1968.091327,4094.368619,2029.058199,2065.310420,0.72806179,2980.953352
20140204,2818.592224,1655.766496,1162.825728,0.77073315,2172.382475,4234.697549,2142.497759,2092.199790,0.74073473,3136.787555
20140205,3244.460320,1755.399040,1489.061280,0.76743217,2489.903239,4540.921990,2222.930062,2317.991928,0.72641641,3298.600261
20140206,3568.058560,1972.236256,1595.822304,0.77562847,2767.487792,4880.582040,2371.442591,2509.139449,0.73135398,3569.433117
20140207,4225.943104,2233.239040,1992.704064,0.79466866,3358.224526,5512.795642,2576.435892,2936.359750,0.75351188,4153.956989
20140208,4738.114336,2527.413664,2210.700672,0.79348839,3759.638702,5968.837747,2843.931143,3124.906604,0.74832292,4466.618090
20140209,4835.138560,2730.661600,2104.476960,0.80571664,3895.751599,6349.004318,3023.736842,3325.267476,0.74442017,4726.326892
20140210,6279.612832,2816.195584,3463.417248,0.75381919,4733.692637,7198.081596,3234.110539,3963.971057,0.75275154,5418.367036
20140211,6793.066048,3335.581312,3457.484736,0.76875268,5222.187711,7633.835181,3557.895375,4075.939806,0.76682422,5853.809711
20140212,7195.609888,3544.488928,3651.120960,0.76749633,5522.604149,8079.067994,3769.920206,4309.147788,0.76361963,6169.334909
20140213,7493.590048,3704.964544,3788.625504,0.76748437,5751.213260,8281.762007,4018.271052,4263.490955,0.77420771,6411.804000
20140214,7221.450112,3812.745664,3408.704448,0.75493165,5451.701254,7349.483076,4032.137590,3317.345486,0.82771684,6083.290872
20140215,7399.296256,3687.573184,3711.723072,0.76239272,5641.169570,7865.095888,3887.714581,3977.381307,0.77791814,6118.400791
20140216,6262.103584,3686.623072,2575.480512,0.79966142,5007.562659,7486.767467,3897.862236,3588.905231,0.78242871,5857.861849
20140217,7638.410272,3421.882432,4216.527840,0.75526577,5769.029840,8129.250362,3741.659256,4387.591106,0.77132007,6270.253967
20140218,8026.886848,4006.710112,4020.176736,0.76765408,6161.872433,8624.854111,3984.315814,4640.538297,0.76876803,6630.512131
20140219,8246.173792,4160.906368,4085.267424,0.77349707,6378.391288,8957.430542,4269.708438,4687.722104,0.77168860,6912.347031
20140220,8251.574656,4286.128288,3965.446368,0.77555828,6399.577050,8572.480707,4364.196332,4208.284375,0.78924957,6765.826692
20140221,8326.461280,4249.769728,4076.691552,0.77326865,6438.591467,8386.100542,4250.704392,4135.396150,0.79427530,6660.872523
20140222,8126.369728,4329.007168,3797.362560,0.77272756,6279.469887,8145.558487,4119.235345,4026.323142,0.79434577,6470.389930
20140223,6643.143424,4089.553312,2553.590112,0.80541712,5350.501435,7528.932106,4005.752911,3523.179195,0.79019548,5949.328126
20140224,8233.283104,3743.719840,4489.563264,0.75923874,6251.027458,8408.755280,3777.365538,4631.389742,0.76854425,6462.500501
