duration_exceeded_percent,Area1_load_MW,Area2_load_MW,Area1_pct_of_peak,Area2_pct_of_peak
0,12296.850592,13536.749326,1.00000000,1.00000000
1,11757.418720,12696.107944,0.95613252,0.93789932
5,11043.536896,11848.591299,0.89807848,0.87529074
10,10266.999040,11179.613339,0.83492915,0.82587134
25,8821.706848,9389.443322,0.71739563,0.69362615
50,7318.052512,7900.422221,0.59511600,0.58362773
75,5627.332192,6119.403281,0.45762386,0.45205855
90,4536.995776,4674.860172,0.36895592,0.34534585
95,3686.154496,4188.683174,0.29976411,0.30943050
99,1902.174688,2812.511291,0.15468796,0.20776859
100,1351.870624,2000.132508,0.10993633,0.14775575
