area,metric,mean,std,cv,min,p25,median,p75,max
Area1,daily_max,9222.65156603,2074.83433865,0.22497156,2242.05932800,8400.34748800,9155.29561600,11019.11593600,12296.85059200
Area1,daily_min,5140.92679005,1231.06448741,0.23946353,1351.87062400,4505.64246400,5055.45952000,6136.38438400,7516.44342400
Area1,peak_valley,4081.72477598,1122.15181330,0.27492099,730.33190400,3788.62550400,4262.99721600,4852.69881600,7018.11984000
Area1,load_factor,0.78959192,0.02656472,0.03364360,0.71704646,0.77575086,0.78579026,0.79913503,0.89053514
Area1,daily_mean,7274.29918996,1626.72424315,0.22362625,1725.19818900,6583.36895600,7247.30525300,8597.58686900,9932.19238700
Area2,daily_max,9786.91536376,2032.74579007,0.20770035,3763.69949900,8637.34470400,9296.04289500,11482.59817400,13536.74932600
Area2,daily_min,5330.64884694,1422.20838402,0.26679836,2000.13250800,4331.37162900,4929.34869300,6585.21163700,8364.61174400
Area2,peak_valley,4456.26651682,854.71345224,0.19180034,1750.48586200,3994.33021400,4490.01301800,5097.51199000,6198.85610100
Area2,load_factor,0.79978949,0.02800616,0.03501692,0.72641641,0.78359375,0.79470401,0.81332004,0.89740781
Area2,daily_mean,7855.88350907,1763.23932987,0.22444825,2845.61742030,6814.27893049,7422.23391161,9360.73259917,11135.66639472
