date,area,cluster,daily_mean,daily_max,daily_min,peak_valley,load_factor,weekday,is_weekend,month,最高温度,最低温度,平均温度,相对湿度,降雨量
2014-01-01,1,1,3585.2709939999986,4454.57872,3054.56032,1400.0184000000004,0.8048507433268568,Wednesday,False,1,20.7,9.3,14.3,40.0,0.0
2014-01-02,1,2,5785.974969,8035.43872,2469.126208,5566.312512,0.7200571332339151,Thursday,False,1,20.3,10.2,15.0,55.0,0.0
2014-01-03,1,2,6624.949450000001,8421.06064,4387.608928,4033.451712,0.786711999024389,Friday,False,1,23.9,14.4,18.9,64.0,0.0
2014-01-04,1,2,6556.301895,8391.353152,4469.63968,3921.7134719999995,0.781316407049007,Saturday,True,1,20.8,14.7,17.9,47.0,0.0
2014-01-05,1,2,5941.938302000001,7412.725984,4414.332832,2998.3931519999996,0.8015861256473502,Sunday,True,1,20.1,10.8,15.3,38.0,0.0
2014-01-06,1,2,6520.510573,8400.503104,4110.03856,4290.4645439999995,0.7762047691994997,Monday,False,1,21.3,11.5,15.8,59.0,0.0
2014-01-07,1,2,6704.399089999998,8481.449728,4518.522784,3962.926944,0.7904779613167564,Tuesday,False,1,22.9,15.3,18.2,67.0,0.0
2014-01-08,1,2,6741.751450000004,8546.52064,4548.34192,3998.178720000001,0.7888299501023617,Wednesday,False,1,19.7,14.6,17.5,83.0,0.7
2014-01-09,1,2,6722.066415000001,8498.717536,4544.30128,3954.4162560000004,0.7909506800909404,Thursday,False,1,15.3,11.6,13.7,59.0,0.0
2014-01-10,1,2,6701.039317999998,8524.777216,4544.385184,3980.3920320000007,0.7860662100849907,Friday,False,1,17.4,11.6,13.9,60.0,0.0
2014-01-11,1,2,6444.350792000001,8268.334336,4512.001984,3756.3323519999994,0.7794013316492965,Saturday,True,1,21.6,12.5,15.8,67.0,0.0
2014-01-12,1,2,5677.075115000002,7050.654016,4252.012672,2798.6413440000006,0.8051841860509755,Sunday,True,1,20.0,13.1,16.0,75.0,0.0
2014-01-13,1,2,6388.229233000001,8291.092192,3932.942944,4358.149248,0.7704930888555245,Monday,False,1,14.5,9.3,11.8,60.0,0.0
2014-01-14,1,2,6534.511743,8275.208128,4428.933952,3846.274176,0.7896492320102284,Tuesday,False,1,14.9,8.0,11.3,57.0,0.0
2014-01-15,1,2,6453.933906000002,8210.692192,4383.656896,3827.035296,0.786040172385018,Wednesday,False,1,16.5,7.6,11.8,48.0,0.0
2014-01-16,1,2,6334.645662999999,8037.446848,4311.656416,3725.790432,0.7881415308614181,Thursday,False,1,18.5,8.3,12.7,57.0,0.0
2014-01-17,1,2,6180.678993999999,7870.763584,4241.474656,3629.288928,0.7852705684826219,Friday,False,1,20.0,9.5,14.2,62.0,0.0
2014-01-18,1,2,5867.771364000001,7519.492192,4158.366208,3361.1259839999993,0.7803414398438677,Saturday,True,1,20.1,11.1,15.7,33.0,0.0
2014-01-19,1,1,5233.983482000001,6528.14032,3863.853664,2664.286656,0.8017571966038868,Sunday,True,1,17.8,8.8,13.8,35.0,0.0
2014-01-20,1,2,5483.330319000003,7062.885184,3579.056128,3483.8290559999996,0.7763584110671569,Monday,False,1,20.3,10.0,14.8,42.0,0.0
2014-01-21,1,2,5344.7292259999995,6811.230112,3705.96112,3105.2689920000003,0.7846936806001716,Tuesday,False,1,18.1,10.2,14.4,21.0,0.0
2014-01-22,1,1,5060.905496000001,6373.923424,3534.133792,2839.7896319999995,0.7940016155424715,Wednesday,False,1,17.1,7.7,12.4,21.0,0.0
2014-01-23,1,1,4701.311610000002,5854.3192,3386.21056,2468.10864,0.803050098464054,Thursday,False,1,18.2,7.3,12.4,42.0,0.0
2014-01-24,1,1,4197.976125,5166.126208,3127.13824,2038.9879679999995,0.8125965096437692,Friday,False,1,22.3,9.2,14.5,62.0,0.0
2014-01-25,1,1,3605.9949979999988,4322.364544,2772.006976,1550.357568,0.8342644312603353,Saturday,True,1,22.4,15.1,17.9,71.0,0.0
2014-01-26,1,1,3127.119079,3739.162432,2448.93856,1290.223872,0.8363153877023121,Sunday,True,1,25.4,16.8,19.7,69.0,0.0
2014-01-27,1,1,2882.8351879999996,3527.447488,2211.010912,1316.4365759999996,0.8172581442550448,Monday,False,1,22.0,15.4,18.2,61.0,0.0
2014-01-28,1,1,2606.7101860000002,3169.903744,2073.782464,1096.1212800000003,0.8223310221750381,Tuesday,False,1,21.8,13.1,16.9,66.0,0.0
2014-01-29,1,1,2277.0678330000005,2772.749248,1861.146016,911.6032320000002,0.821231070441174,Wednesday,False,1,25.2,13.6,18.2,64.0,0.0
2014-01-30,1,1,1937.7228299999997,2315.095936,1584.764032,730.3319040000001,0.8369946142914397,Thursday,False,1,25.1,14.1,18.8,63.0,0.0
2014-01-31,1,1,1725.1981890000004,2242.059328,1396.797952,845.2613759999999,0.7694703558709757,Friday,False,1,26.2,14.1,19.8,54.0,0.0
2014-02-01,1,1,1741.0982729999998,2273.788768,1351.870624,921.918144,0.7657256019130797,Saturday,True,2,25.5,15.9,20.0,68.0,0.0
2014-02-02,1,1,1782.7430869999996,2361.377248,1363.981792,997.3954559999997,0.7549590343982173,Sunday,True,2,25.8,15.2,20.0,70.0,0.0
2014-02-03,1,1,1968.0913270000008,2608.204576,1445.27488,1162.9296960000001,0.7545770546949614,Monday,False,2,26.7,16.1,21.0,65.0,0.0
2014-02-04,1,1,2172.382475,2818.592224,1655.766496,1162.825728,0.770733154126519,Tuesday,False,2,23.5,17.1,19.8,70.0,0.0
2014-02-05,1,1,2489.9032390000007,3244.46032,1755.39904,1489.0612800000001,0.7674321746674961,Wednesday,False,2,22.4,15.9,18.6,72.0,0.0
2014-02-06,1,1,2767.487792,3568.05856,1972.236256,1595.822304,0.7756284672637211,Thursday,False,2,24.5,17.1,20.1,76.0,0.0
2014-02-07,1,1,3358.2245260000013,4225.943104,2233.23904,1992.704064,0.794668655813498,Friday,False,2,24.1,15.5,20.5,82.0,0.1
2014-02-08,1,1,3759.638701999999,4738.114336,2527.413664,2210.7006719999995,0.7934883870223259,Saturday,True,2,15.1,11.2,12.1,87.0,0.5
2014-02-09,1,1,3895.7515990000006,4835.13856,2730.6616,2104.4769600000004,0.8057166409311753,Sunday,True,2,11.9,9.1,10.8,93.0,15.4
2014-02-10,1,1,4733.692637000001,6279.612832,2816.195584,3463.4172479999997,0.7538191865711509,Monday,False,2,9.2,6.4,7.4,69.0,2.9
2014-02-11,1,1,5222.187710999998,6793.066048,3335.581312,3457.484736,0.768752677229968,Tuesday,False,2,7.4,4.8,5.9,56.0,0.0
2014-02-12,1,2,5522.604149,7195.609888,3544.488928,3651.1209599999997,0.7674963255317601,Wednesday,False,2,6.2,3.9,5.5,78.0,1.5
2014-02-13,1,2,5751.213259999997,7493.590048,3704.964544,3788.625504,0.767484373065613,Thursday,False,2,7.3,5.1,6.1,88.0,8.2
2014-02-14,1,2,5451.701253999999,7221.450112,3812.745664,3408.7044480000004,0.7549316507692574,Friday,False,2,13.5,5.7,8.6,59.0,0.0
