area,cluster,time,hour,mean_load_MW
1,1,T0000,0.0,3544.5605129411774
1,1,T0015,0.25,3483.3376225882357
1,1,T0030,0.5,3415.791923764706
1,1,T0045,0.75,3359.231462588235
1,1,T0100,1.0,3303.7359463529406
1,1,T0115,1.25,3253.164267294118
1,1,T0130,1.5,3205.667431529412
1,1,T0145,1.75,3166.8296743529413
1,1,T0200,2.0,3127.0802560000006
1,1,T0215,2.25,3093.6681082352948
1,1,T0230,2.5,3064.7040640000005
1,1,T0245,2.75,3036.8815755294113
1,1,T0300,3.0,3008.0880922352935
1,1,T0315,3.25,2983.259575529412
1,1,T0330,3.5,2962.1046061176476
1,1,T0345,3.75,2944.250602352941
1,1,T0400,4.0,2925.2290494117656
1,1,T0415,4.25,2911.177605647059
1,1,T0430,4.5,2896.382000941177
1,1,T0445,4.75,2883.1265694117646
1,1,T0500,5.0,2880.054623058824
1,1,T0515,5.25,2872.129080470589
1,1,T0530,5.5,2871.7755576470586
1,1,T0545,5.75,2870.8645571764714
1,1,T0600,6.0,2866.121425882352
1,1,T0615,6.25,2884.6171642352942
1,1,T0630,6.5,2892.8977345882354
1,1,T0645,6.75,2904.5124103529406
1,1,T0700,7.0,2939.008214588235
1,1,T0715,7.25,3016.4607294117645
1,1,T0730,7.5,3098.158491294118
1,1,T0745,7.75,3205.9087585882353
1,1,T0800,8.0,3440.1977072941177
1,1,T0815,8.25,3691.9432564705885
1,1,T0830,8.5,3804.380545882353
1,1,T0845,8.75,3898.9351868235294
1,1,T0900,9.0,3964.460238117647
1,1,T0915,9.25,4040.453696941176
1,1,T0930,9.5,4086.9782503529414
1,1,T0945,9.75,4147.6724094117635
1,1,T1000,10.0,4190.558523294117
1,1,T1015,10.25,4234.173748705882
1,1,T1030,10.5,4276.142229647058
1,1,T1045,10.75,4308.662740705882
1,1,T1100,11.0,4330.185045647057
1,1,T1115,11.25,4347.477833411765
1,1,T1130,11.5,4315.374261647058
1,1,T1145,11.75,4216.894649411764
1,1,T1200,12.0,3967.9042804705873
1,1,T1215,12.25,3777.7554174117654
1,1,T1230,12.5,3737.2752950588238
1,1,T1245,12.75,3719.7567294117653
1,1,T1300,13.0,3711.996981647059
1,1,T1315,13.25,3735.6402004705883
1,1,T1330,13.5,3819.432095058824
1,1,T1345,13.75,3960.370717176471
1,1,T1400,14.0,3975.387593411765
1,1,T1415,14.25,4005.026204235294
1,1,T1430,14.5,4006.983203764705
1,1,T1445,14.75,4017.972860235294
1,1,T1500,15.0,4026.6299623529408
1,1,T1515,15.25,4034.1190550588235
1,1,T1530,15.5,4044.6283896470586
1,1,T1545,15.75,4076.3370795294127
1,1,T1600,16.0,4110.908610823528
1,1,T1615,16.25,4157.916431058823
1,1,T1630,16.5,4184.643282823529
1,1,T1645,16.75,4176.768947764706
1,1,T1700,17.0,4172.427988705882
1,1,T1715,17.25,4172.991624470588
1,1,T1730,17.5,4094.654602352942
1,1,T1745,17.75,4053.3480329411764
1,1,T1800,18.0,4083.2095698823523
1,1,T1815,18.25,4179.828473411765
1,1,T1830,18.5,4286.965117176471
1,1,T1845,18.75,4356.109153882353
1,1,T1900,19.0,4359.584382117648
1,1,T1915,19.25,4348.857695058825
1,1,T1930,19.5,4340.659173647059
1,1,T1945,19.75,4309.33109552941
1,1,T2000,20.0,4260.075875764705
1,1,T2015,20.25,4254.133701647058
1,1,T2030,20.5,4261.845435294117
1,1,T2045,20.75,4262.557944470588
1,1,T2100,21.0,4211.81871717647
1,1,T2115,21.25,4197.269411764706
1,1,T2130,21.5,4170.24328
1,1,T2145,21.75,4129.789179294118
1,1,T2200,22.0,4078.1558898823528
1,1,T2215,22.25,4016.870407529412
1,1,T2230,22.5,3924.9571557647055
1,1,T2245,22.75,3817.998614588235
1,1,T2300,23.0,3715.3691962352946
1,1,T2315,23.25,3586.9860414117647
1,1,T2330,23.5,3494.0323105882353
1,1,T2345,23.75,3387.607184941176
1,2,T0000,0.0,5587.392634540282
1,2,T0015,0.25,5499.93808272986
1,2,T0030,0.5,5429.019359393363
1,2,T0045,0.75,5383.704326066348
1,2,T0100,1.0,5320.366663127966
1,2,T0115,1.25,5275.68368606635
1,2,T0130,1.5,5226.154020246446
1,2,T0145,1.75,5183.425655962088
1,2,T0200,2.0,5137.501992189574
1,2,T0215,2.25,5100.847020587677
1,2,T0230,2.5,5067.62021945024
1,2,T0245,2.75,5035.843038786729
1,2,T0300,3.0,4997.175471317534
1,2,T0315,3.25,4964.34761205687
1,2,T0330,3.5,4941.019890502368
1,2,T0345,3.75,4918.9067659526045
1,2,T0400,4.0,4892.525925004742
1,2,T0415,4.25,4871.384676701423
1,2,T0430,4.5,4852.2230644170595
1,2,T0445,4.75,4839.736531412323
1,2,T0500,5.0,4833.87737387678
1,2,T0515,5.25,4835.990949004741
1,2,T0530,5.5,4842.028919962085
1,2,T0545,5.75,4861.059758862562
1,2,T0600,6.0,4882.526423052133
1,2,T0615,6.25,4956.232238862562
1,2,T0630,6.5,5010.611913402842
1,2,T0645,6.75,5106.893389042654
1,2,T0700,7.0,5208.712132398103
1,2,T0715,7.25,5379.282748966829
1,2,T0730,7.5,5577.6739225782
1,2,T0745,7.75,5911.340719014218
1,2,T0800,8.0,6693.174654331757
1,2,T0815,8.25,7560.002045876779
1,2,T0830,8.5,7886.037263165879
1,2,T0845,8.75,8092.633369327007
1,2,T0900,9.0,8214.28046635071
1,2,T0915,9.25,8330.490479165877
1,2,T0930,9.5,8406.526967052136
1,2,T0945,9.75,8495.33135802844
1,2,T1000,10.0,8554.097389952614
1,2,T1015,10.25,8612.60209713744
1,2,T1030,10.5,8677.266341763032
1,2,T1045,10.75,8707.896897971566
1,2,T1100,11.0,8711.670835867293
1,2,T1115,11.25,8694.110275639818
1,2,T1130,11.5,8524.410813118484
1,2,T1145,11.75,8161.108614218009
1,2,T1200,12.0,7247.839329971564
1,2,T1215,12.25,6576.033716777252
1,2,T1230,12.5,6553.4204517914695
1,2,T1245,12.75,6564.992963336493
1,2,T1300,13.0,6630.126703924168
1,2,T1315,13.25,6797.496797421799
1,2,T1330,13.5,7289.9803612511905
1,2,T1345,13.75,7973.596091450238
1,2,T1400,14.0,8139.707226388623
1,2,T1415,14.25,8295.225780018964
1,2,T1430,14.5,8335.163846976304
1,2,T1445,14.75,8365.575510445502
1,2,T1500,15.0,8393.891644056865
1,2,T1515,15.25,8429.859796170615
1,2,T1530,15.5,8467.274049061607
1,2,T1545,15.75,8517.430299601894
1,2,T1600,16.0,8570.749258312797
1,2,T1615,16.25,8628.954453687205
1,2,T1630,16.5,8649.14489023697
1,2,T1645,16.75,8615.768994274884
1,2,T1700,17.0,8515.907668170614
1,2,T1715,17.25,8356.259864265407
1,2,T1730,17.5,7858.199342407585
1,2,T1745,17.75,7450.805894521327
1,2,T1800,18.0,7400.309404056869
1,2,T1815,18.25,7518.575619488154
1,2,T1830,18.5,7731.389359924168
1,2,T1845,18.75,7972.438452928913
