area,date,cluster,PC1,PC2
1,2014-01-01,1,-20.89753143277475,4.037087835599449
1,2014-01-02,2,-9.588936170151896,-7.419815806806836
1,2014-01-03,2,-3.941042833741283,-1.680153603618858
1,2014-01-04,2,-4.29995696833644,-0.9655514932111305
1,2014-01-05,2,-7.644927034197358,0.962116054578713
1,2014-01-06,2,-4.682341597333213,-2.635519181448115
1,2014-01-07,2,-3.446972940488919,-1.4160909629630898
1,2014-01-08,2,-3.2411257152993174,-1.4111966227885115
1,2014-01-09,2,-3.3326498969834066,-1.3815661650397963
1,2014-01-10,2,-3.4291776606726687,-1.121160977668399
1,2014-01-11,2,-4.8972166923277705,-0.37171110071255453
1,2014-01-12,2,-9.16499753164449,1.21257936113703
1,2014-01-13,2,-5.498546935588541,-3.008647712737489
1,2014-01-14,2,-4.414720175888559,-1.2292349396400875
1,2014-01-15,2,-4.868597443958992,-1.0688944909636267
1,2014-01-16,2,-5.567090948608572,-0.9505183280299282
1,2014-01-17,2,-6.445870554655949,-0.7354254164374935
1,2014-01-18,2,-8.221166439743332,-0.03146615560218942
1,2014-01-19,1,-11.783920685943164,0.9468188802720446
1,2014-01-20,2,-10.62407283336044,-1.4244140478632576
1,2014-01-21,2,-11.289241282536885,-0.384338213838044
1,2014-01-22,1,-12.90075978860171,-0.021352690028859124
1,2014-01-23,1,-14.944797326296168,0.4491656585694019
1,2014-01-24,1,-17.820047014429434,1.052739051321431
1,2014-01-25,1,-21.23506411400628,1.394354772529554
1,2014-01-26,1,-24.031240751760574,1.3702298432358135
1,2014-01-27,1,-25.50021626263052,1.0739657476313826
1,2014-01-28,1,-27.076322601094446,1.3824331146320858
1,2014-01-29,1,-29.000962535330693,1.5268213439610783
1,2014-01-30,1,-31.015416111435595,1.4700053777692728
1,2014-01-31,1,-32.2660452639724,1.3033027490028881
1,2014-02-01,1,-32.219985172133214,0.917021608939773
1,2014-02-02,1,-31.979394820047457,0.8806692930009548
1,2014-02-03,1,-30.934920059404288,0.5439688811623361
1,2014-02-04,1,-29.702462318843608,0.7606577475987202
1,2014-02-05,1,-27.91825844747442,0.2128734216466781
1,2014-02-06,1,-26.274295802364648,0.282267802909687
1,2014-02-07,1,-22.980332018578594,-0.6104664164861077
1,2014-02-08,1,-20.62041932364423,-0.4578266378753818
1,2014-02-09,1,-19.753976455186077,-0.06422769760269972
1,2014-02-10,1,-15.194116699148656,-2.465785910882746
1,2014-02-11,1,-12.249658548866178,-1.770140895979067
1,2014-02-12,2,-10.515104924239202,-1.9047514958619227
1,2014-02-13,2,-9.177019745784207,-1.9088052101436948
1,2014-02-14,2,-10.721997606503255,-0.04005466559233364
1,2014-02-15,2,-9.768282606756816,-1.3701858535718865
1,2014-02-16,1,-13.140247890983337,0.7913339526581145
1,2014-02-17,2,-9.19770873399951,-3.140983814060214
1,2014-02-18,2,-6.755229868630748,-1.9709756049796912
1,2014-02-19,2,-5.472269851560868,-2.02210425991661
1,2014-02-20,2,-5.252035839218348,-1.398166436067668
1,2014-02-21,2,-5.0434937207956905,-1.4973507137032163
1,2014-02-22,2,-5.939695244185503,-0.7306297186903424
1,2014-02-23,2,-11.03618401472898,1.4638209115932856
1,2014-02-24,2,-6.3909486273013485,-3.382017270993314
1,2014-02-25,2,-4.546971988168832,-1.5429236098615835
1,2014-02-26,2,-4.341869156949837,-1.504561261275699
1,2014-02-27,2,-3.911179660490782,-1.3316007920133397
1,2014-02-28,2,-4.514709943170274,-0.7654224977023993
1,2014-03-01,2,-6.811670431489283,-0.4135782895931593
1,2014-03-02,1,-11.93558176653711,2.0019222032971347
1,2014-03-03,2,-5.8589642571386085,-4.227746031167526
1,2014-03-04,2,-3.2690554865667365,-1.5925553317029406
1,2014-03-05,2,-2.9576623867746914,-1.3140299006955647
1,2014-03-06,2,-2.6961600903873206,-1.3202107643138232
1,2014-03-07,2,-2.524319998606335,-1.2492514488690925
1,2014-03-08,2,-4.108500152733502,-0.3775044791893048
1,2014-03-09,2,-9.164609088042424,1.7880721357155227
1,2014-03-10,2,-3.9840666320498843,-3.811479815097732
1,2014-03-11,2,-2.038705120898415,-1.4401236098326875
1,2014-03-12,2,-1.7356534668310466,-1.4427318588293025
1,2014-03-13,2,-1.8845759456410283,-1.120329535421156
1,2014-03-14,2,-1.9383065029484732,-1.1636013570585928
1,2014-03-15,2,-3.321012671230559,-0.24081994654413255
1,2014-03-16,2,-10.112318643908838,2.5768514622821295
1,2014-03-17,2,-4.260480079851014,-4.219925564027959
1,2014-03-18,2,-1.3937524264216599,-1.3394500554484732
1,2014-03-19,2,-1.008139292320115,-1.1621310866543102
1,2014-03-20,2,-0.7322767958831012,-1.0754306194615204
1,2014-03-21,2,-1.5531367888237486,-0.9096992257678498
1,2014-03-22,2,-3.278811549547888,0.12837810133080924
1,2014-03-23,2,-9.281646187734083,2.486803706230202
1,2014-03-24,2,-3.853541866035358,-3.730965669255918
1,2014-03-25,2,-1.280734149703728,-1.2463385389677961
1,2014-03-26,2,-0.7884905189250613,-1.154088589258299
1,2014-03-27,2,-0.3635363111509912,-1.2549043649420903
1,2014-03-28,2,-0.030441372279851796,-1.0596596235797262
1,2014-03-29,2,-2.1458863204425396,0.34761690207678986
1,2014-03-30,2,-9.393199100448612,2.679350563238826
1,2014-03-31,2,-6.096135281149522,-3.5208770261084403
1,2014-04-01,2,-3.2807287331769794,-1.6502724476702146
1,2014-04-02,2,-2.2713193392031577,-1.4460153693165976
1,2014-04-03,2,-1.9173622945483173,-1.2534805312085642
1,2014-04-04,2,-3.3944494803489245,0.1309790813585293
1,2014-04-05,1,-18.516082435187624,6.267001600620824
1,2014-04-06,1,-16.86510787988085,-2.4587051223978977
