area,k,silhouette,inertia
1,2,0.4627477947046398,16718.616815313406
1,3,0.5411990001020759,7661.902217582265
1,4,0.5015799964591423,4945.150156039829
1,5,0.44089156727050705,3906.6610879351074
1,6,0.46349438093250384,3259.30697234868
1,7,0.40286833556378093,2764.294242401118
1,8,0.40222993773683363,2332.1164862557853
2,2,0.6175935996452486,11464.536803933112
2,3,0.6219692965686822,6004.715607393956
2,4,0.5129064000864934,4216.5051550455555
2,5,0.42039787650918203,3115.58597544251
2,6,0.43425670367848757,2425.1671158520567
2,7,0.3880926164768895,2149.1698977392143
2,8,0.38832958911055765,1883.0852671862797
