area,target,factor,pearson_r
Area1,load_max,最高温度,0.5842727755833018
Area1,load_max,最低温度,0.6146405600164493
Area1,load_max,平均温度,0.6149960878396425
Area1,load_max,相对湿度,0.11180850772155872
Area1,load_max,降雨量,0.0740053782686456
Area1,load_min,最高温度,0.6419583783815078
Area1,load_min,最低温度,0.6739447554009622
Area1,load_min,平均温度,0.6746649960423353
Area1,load_min,相对湿度,0.11813603470016314
Area1,load_min,降雨量,0.08250846265219652
Area1,load_mean,最高温度,0.6079100462304776
Area1,load_mean,最低温度,0.638519537877523
Area1,load_mean,平均温度,0.6393849063024029
Area1,load_mean,相对湿度,0.11038781705622536
Area1,load_mean,降雨量,0.07154856851723751
Area2,load_max,最高温度,0.6798293269319186
Area2,load_max,最低温度,0.6880136133516311
Area2,load_max,平均温度,0.7060432686745076
Area2,load_max,相对湿度,0.13042159959714236
Area2,load_max,降雨量,0.13325891271423257
Area2,load_min,最高温度,0.7281389556807738
Area2,load_min,最低温度,0.7328573418836078
Area2,load_min,平均温度,0.7533856762423524
Area2,load_min,相对湿度,0.12647392865054885
Area2,load_min,降雨量,0.13825125824222317
Area2,load_mean,最高温度,0.7152978707297929
Area2,load_mean,最低温度,0.7185920049414077
Area2,load_mean,平均温度,0.7403227537148831
Area2,load_mean,相对湿度,0.12283410934880855
Area2,load_mean,降雨量,0.11949970513629585
