date,slot,method,forecast_MW
2015-01-04,0,lag7,5484.0171
2015-01-04,1,lag7,5354.0959
2015-01-04,2,lag7,5278.6853
2015-01-04,3,lag7,5224.8597
2015-01-04,4,lag7,5146.2888
2015-01-04,5,lag7,5073.1033
2015-01-04,6,lag7,5045.4930
2015-01-04,7,lag7,5001.8542
2015-01-04,8,lag7,4963.4763
2015-01-04,9,lag7,4898.3528
2015-01-04,10,lag7,4862.6641
2015-01-04,11,lag7,4827.4891
2015-01-04,12,lag7,4782.4764
2015-01-04,13,lag7,4770.8031
2015-01-04,14,lag7,4729.2953
2015-01-04,15,lag7,4703.9668
2015-01-04,16,lag7,4687.2278
2015-01-04,17,lag7,4664.5858
2015-01-04,18,lag7,4643.9837
2015-01-04,19,lag7,4631.5806
2015-01-04,20,lag7,4628.1419
2015-01-04,21,lag7,4628.1335
2015-01-04,22,lag7,4616.6711
2015-01-04,23,lag7,4635.8594
2015-01-04,24,lag7,4635.7525
2015-01-04,25,lag7,4651.0065
2015-01-04,26,lag7,4683.4998
2015-01-04,27,lag7,4719.4792
2015-01-04,28,lag7,4781.7747
2015-01-04,29,lag7,4960.0361
2015-01-04,30,lag7,5084.6875
2015-01-04,31,lag7,5318.0026
2015-01-04,32,lag7,5798.2421
2015-01-04,33,lag7,6437.7878
2015-01-04,34,lag7,6681.9888
2015-01-04,35,lag7,6868.4453
2015-01-04,36,lag7,6979.9398
2015-01-04,37,lag7,7091.8103
2015-01-04,38,lag7,7157.8675
2015-01-04,39,lag7,7267.0497
2015-01-04,40,lag7,7289.0140
2015-01-04,41,lag7,7360.6665
2015-01-04,42,lag7,7419.4460
2015-01-04,43,lag7,7463.9621
2015-01-04,44,lag7,7484.2540
2015-01-04,45,lag7,7501.1860
2015-01-04,46,lag7,7420.6460
2015-01-04,47,lag7,7152.5979
2015-01-04,48,lag7,6453.3377
2015-01-04,49,lag7,5929.7743
2015-01-04,50,lag7,5880.6016
2015-01-04,51,lag7,5884.5625
2015-01-04,52,lag7,5854.1519
2015-01-04,53,lag7,5964.4834
2015-01-04,54,lag7,6249.6423
2015-01-04,55,lag7,6738.7460
2015-01-04,56,lag7,6847.8016
2015-01-04,57,lag7,6919.1275
2015-01-04,58,lag7,6958.5475
2015-01-04,59,lag7,6965.0486
2015-01-04,60,lag7,6986.2825
2015-01-04,61,lag7,7021.9225
2015-01-04,62,lag7,7036.5316
2015-01-04,63,lag7,7087.7748
2015-01-04,64,lag7,7137.8903
2015-01-04,65,lag7,7200.1675
2015-01-04,66,lag7,7252.1538
2015-01-04,67,lag7,7255.8540
2015-01-04,68,lag7,7190.0688
2015-01-04,69,lag7,7147.6535
2015-01-04,70,lag7,6886.9140
2015-01-04,71,lag7,6677.4260
2015-01-04,72,lag7,6715.1223
2015-01-04,73,lag7,6796.7275
2015-01-04,74,lag7,6857.1273
2015-01-04,75,lag7,6877.5151
2015-01-04,76,lag7,6809.2938
2015-01-04,77,lag7,6782.1278
2015-01-04,78,lag7,6727.0239
2015-01-04,79,lag7,6661.5540
2015-01-04,80,lag7,6617.4724
2015-01-04,81,lag7,6615.5697
2015-01-04,82,lag7,6652.5897
2015-01-04,83,lag7,6624.1398
2015-01-04,84,lag7,6597.8875
2015-01-04,85,lag7,6573.8340
2015-01-04,86,lag7,6512.3013
