area,fold,origin,model,MAE_MW,RMSE_MW,MAPE_pct,Bias_MW
Area1,1,2014-01-05,lag7,790.5659161428571,1458.4309613108453,11.752359913957818,-705.4286878571428
Area1,1,2014-01-05,avg4,236.59010939285713,334.7949979773464,3.5336423921702145,-62.19638639285714
Area1,1,2014-01-05,weighted4,308.10783694285715,533.454035572215,4.565663702182804,-181.19610182857122
Area1,1,2014-01-05,hgb_fixed_lags,147.5595380539143,196.9603413471834,2.378663150903627,76.8273975607323
Area1,2,2014-02-02,lag7,1066.373726,1272.0567678965924,40.602850740175,-285.81708142857144
Area1,2,2014-02-02,avg4,2355.1785785714287,2613.140924095657,105.45190367666602,2355.1785785714287
Area1,2,2014-02-02,weighted4,1713.1298350000002,2019.9812335617428,79.75317903342157,1653.4390939428572
Area1,2,2014-02-02,hgb_fixed_lags,515.9823969072792,599.8450202384432,21.3378459084848,502.0563830731773
Area1,3,2014-03-02,lag7,259.11475199999995,293.5908100621839,3.9583755989917493,-199.5067562857143
Area1,3,2014-03-02,avg4,1447.523506642857,1508.8004883625683,22.351924843182886,-1447.523506642857
Area1,3,2014-03-02,weighted4,853.1198211999997,892.9546507980649,13.152777407234156,-853.1198211999997
Area1,3,2014-03-02,hgb_fixed_lags,239.0134430184428,283.08671520075205,3.840777957491063,-94.8935566038587
Area1,4,2014-03-30,lag7,701.1322651428572,1313.548115841119,15.402881060199514,680.6448668571429
Area1,4,2014-03-30,avg4,570.8518379285715,1228.4169663687157,13.149106790048334,521.6057473571428
Area1,4,2014-03-30,weighted4,614.8279212714286,1250.243870329505,13.887044819511718,579.4861380142859
Area1,4,2014-03-30,hgb_fixed_lags,436.91941303606836,726.1124084749081,8.307706393419132,52.14890767917164
Area1,5,2014-04-27,lag7,1331.3380144285713,2050.494911447826,31.85567705966229,1269.3925755714286
Area1,5,2014-04-27,avg4,1261.3816454285711,1907.2095741203948,30.224026268083637,766.3556668571428
Area1,5,2014-04-27,weighted4,1264.8629218285716,1963.4352320527464,30.65033638630853,974.1554929428573
Area1,5,2014-04-27,hgb_fixed_lags,494.38620008313575,758.2664783318185,11.221034919770666,202.10014750749022
Area1,6,2014-05-25,lag7,888.2183614285716,950.6925210045939,10.714839942220527,-882.4903451428572
Area1,6,2014-05-25,avg4,1453.3433818214285,1579.374117636287,16.939579211993433,-1453.3433818214285
Area1,6,2014-05-25,weighted4,1185.5583480142855,1248.8400891442018,14.039204762893773,-1185.3535179
Area1,6,2014-05-25,hgb_fixed_lags,794.2340114492475,859.0576247653606,9.609987133145134,-790.1423739204942
Area1,7,2014-06-22,lag7,344.3602867142857,419.0312894896833,4.1734398513433115,210.9441818571428
Area1,7,2014-06-22,avg4,354.2576387857143,479.24332787554033,3.929141193179829,-270.53303464285716
Area1,7,2014-06-22,weighted4,302.5388347571428,387.04440334935475,3.348071447465247,-181.02647707142842
Area1,7,2014-06-22,hgb_fixed_lags,391.22003170233006,533.0512253500353,4.311570510836619,-285.02556862873837
Area1,8,2014-07-20,lag7,274.25775271428574,328.8680751327752,3.0825878187890137,-62.91649414285716
Area1,8,2014-07-20,avg4,277.7278713571429,374.6541952530435,3.001035305526439,-137.62244778571434
Area1,8,2014-07-20,weighted4,262.9106355142857,320.3667944673741,2.9248819216434803,-68.96264339999982
Area1,8,2014-07-20,hgb_fixed_lags,384.11031336671414,511.0334758851123,4.006807629497136,-341.73266322181746
Area1,9,2014-08-17,lag7,237.79886242857148,297.76430652953894,2.9503733357985404,228.86538814285717
Area1,9,2014-08-17,avg4,472.32278335714295,622.8967264525938,5.881782341514461,418.0169587857143
Area1,9,2014-08-17,weighted4,406.29391130000016,529.7971202348821,5.057311637765389,378.544663814286
Area1,9,2014-08-17,hgb_fixed_lags,420.9457378875178,529.5700143480831,5.166422384623984,248.24111005378793
Area1,10,2014-09-14,lag7,1026.6171645714285,1898.1735275133478,11.615126865695473,-770.6155705714285
Area1,10,2014-09-14,avg4,448.27527296428576,600.9941799333709,5.179029389592124,-141.37845246428574
Area1,10,2014-09-14,weighted4,605.8739737857143,870.0235269479423,7.0135731344871495,-245.9744011285712
Area1,10,2014-09-14,hgb_fixed_lags,822.8604987886932,1215.1827647387527,8.629139212949708,-703.2119454588457
