date,slot,model,forecast_MW
2015-01-04,0,no_weather,5406.6535
2015-01-04,1,no_weather,5171.0073
2015-01-04,2,no_weather,5087.1824
2015-01-04,3,no_weather,5003.6186
2015-01-04,4,no_weather,4939.2971
2015-01-04,5,no_weather,4860.5955
2015-01-04,6,no_weather,4850.7746
2015-01-04,7,no_weather,4801.0024
2015-01-04,8,no_weather,4774.4294
2015-01-04,9,no_weather,4641.1837
2015-01-04,10,no_weather,4615.8397
2015-01-04,11,no_weather,4589.1826
2015-01-04,12,no_weather,4582.6519
2015-01-04,13,no_weather,4577.0706
2015-01-04,14,no_weather,4555.8265
2015-01-04,15,no_weather,4527.7026
2015-01-04,16,no_weather,4527.7026
2015-01-04,17,no_weather,4500.7024
2015-01-04,18,no_weather,4500.7024
2015-01-04,19,no_weather,4511.5604
2015-01-04,20,no_weather,4511.5604
2015-01-04,21,no_weather,4511.5604
2015-01-04,22,no_weather,4479.8676
2015-01-04,23,no_weather,4511.5604
2015-01-04,24,no_weather,4511.5604
2015-01-04,25,no_weather,4511.5604
2015-01-04,26,no_weather,4527.7026
2015-01-04,27,no_weather,4529.2503
2015-01-04,28,no_weather,4623.6115
2015-01-04,29,no_weather,4706.6850
2015-01-04,30,no_weather,4770.3135
2015-01-04,31,no_weather,5036.9736
2015-01-04,32,no_weather,5478.0561
2015-01-04,33,no_weather,6096.1218
2015-01-04,34,no_weather,6481.0661
2015-01-04,35,no_weather,6661.2465
2015-01-04,36,no_weather,6872.4977
2015-01-04,37,no_weather,6974.0843
2015-01-04,38,no_weather,7143.0185
2015-01-04,39,no_weather,7227.2333
2015-01-04,40,no_weather,7234.0790
2015-01-04,41,no_weather,7344.0468
2015-01-04,42,no_weather,7370.8481
2015-01-04,43,no_weather,7420.2393
2015-01-04,44,no_weather,7420.2393
2015-01-04,45,no_weather,7433.1282
2015-01-04,46,no_weather,7385.7116
2015-01-04,47,no_weather,7225.2443
2015-01-04,48,no_weather,6198.3453
2015-01-04,49,no_weather,5759.5778
2015-01-04,50,no_weather,5715.3178
2015-01-04,51,no_weather,5660.0065
2015-01-04,52,no_weather,5634.7692
2015-01-04,53,no_weather,5775.3690
2015-01-04,54,no_weather,6083.7676
2015-01-04,55,no_weather,6597.7390
2015-01-04,56,no_weather,6780.8795
2015-01-04,57,no_weather,6867.1676
2015-01-04,58,no_weather,6835.9358
2015-01-04,59,no_weather,6835.9358
2015-01-04,60,no_weather,6889.6100
2015-01-04,61,no_weather,6962.5071
2015-01-04,62,no_weather,7021.2724
2015-01-04,63,no_weather,7070.5790
2015-01-04,64,no_weather,7190.2674
2015-01-04,65,no_weather,7276.2711
2015-01-04,66,no_weather,7286.4854
2015-01-04,67,no_weather,7286.4854
2015-01-04,68,no_weather,7279.9689
2015-01-04,69,no_weather,7213.6352
2015-01-04,70,no_weather,6768.3301
2015-01-04,71,no_weather,6547.7683
2015-01-04,72,no_weather,6488.5616
2015-01-04,73,no_weather,6663.7942
2015-01-04,74,no_weather,6789.6742
2015-01-04,75,no_weather,6827.0954
2015-01-04,76,no_weather,6664.2357
2015-01-04,77,no_weather,6664.2357
2015-01-04,78,no_weather,6547.7683
2015-01-04,79,no_weather,6411.5853
2015-01-04,80,no_weather,6398.2079
2015-01-04,81,no_weather,6339.5679
2015-01-04,82,no_weather,6354.6050
2015-01-04,83,no_weather,6338.8137
2015-01-04,84,no_weather,6366.7708
2015-01-04,85,no_weather,6366.7708
2015-01-04,86,no_weather,6096.2803
2015-01-04,87,no_weather,6043.7451
2015-01-04,88,no_weather,5990.7618
2015-01-04,89,no_weather,5940.1967
2015-01-04,90,no_weather,5739.2111
2015-01-04,91,no_weather,5635.5324
2015-01-04,92,no_weather,5449.4991
2015-01-04,93,no_weather,5251.5035
2015-01-04,94,no_weather,5015.6471
2015-01-04,95,no_weather,4888.2071
2015-01-05,0,no_weather,4911.4706
2015-01-05,1,no_weather,4820.5855
2015-01-05,2,no_weather,4805.1856
2015-01-05,3,no_weather,4731.0704
2015-01-05,4,no_weather,4699.9946
2015-01-05,5,no_weather,4636.4372
2015-01-05,6,no_weather,4583.2214
2015-01-05,7,no_weather,4503.6328
2015-01-05,8,no_weather,4471.5639
2015-01-05,9,no_weather,4407.3422
2015-01-05,10,no_weather,4379.5997
2015-01-05,11,no_weather,4363.8959
2015-01-05,12,no_weather,4211.3092
2015-01-05,13,no_weather,4187.1727
2015-01-05,14,no_weather,4200.1968
2015-01-05,15,no_weather,4150.8801
2015-01-05,16,no_weather,4150.8801
2015-01-05,17,no_weather,4150.8801
2015-01-05,18,no_weather,4150.8801
2015-01-05,19,no_weather,4085.5319
2015-01-05,20,no_weather,4150.8801
2015-01-05,21,no_weather,4150.8801
2015-01-05,22,no_weather,4143.7665
2015-01-05,23,no_weather,4196.4724
2015-01-05,24,no_weather,4302.1376
2015-01-05,25,no_weather,4379.8145
2015-01-05,26,no_weather,4418.8670
2015-01-05,27,no_weather,4509.4968
2015-01-05,28,no_weather,4667.1846
2015-01-05,29,no_weather,4908.5885
2015-01-05,30,no_weather,5158.6627
2015-01-05,31,no_weather,5569.9715
2015-01-05,32,no_weather,6462.4414
2015-01-05,33,no_weather,7694.4312
2015-01-05,34,no_weather,7992.6448
2015-01-05,35,no_weather,8091.4985
2015-01-05,36,no_weather,8304.9008
2015-01-05,37,no_weather,8377.4959
2015-01-05,38,no_weather,8377.3591
2015-01-05,39,no_weather,8423.3191
2015-01-05,40,no_weather,8431.6515
2015-01-05,41,no_weather,8431.6515
2015-01-05,42,no_weather,8391.2219
2015-01-05,43,no_weather,8380.8239
2015-01-05,44,no_weather,8380.8239
2015-01-05,45,no_weather,8331.2370
2015-01-05,46,no_weather,8423.3191
2015-01-05,47,no_weather,8177.0159
2015-01-05,48,no_weather,7481.2524
2015-01-05,49,no_weather,6375.2959
2015-01-05,50,no_weather,6364.5836
2015-01-05,51,no_weather,6315.7959
2015-01-05,52,no_weather,6360.6939
2015-01-05,53,no_weather,6591.8305
2015-01-05,54,no_weather,7312.8800
2015-01-05,55,no_weather,8031.1201
2015-01-05,56,no_weather,8105.6290
2015-01-05,57,no_weather,8218.9386
2015-01-05,58,no_weather,8338.7971
2015-01-05,59,no_weather,8340.9854
2015-01-05,60,no_weather,8340.1479
2015-01-05,61,no_weather,8416.2430
2015-01-05,62,no_weather,8416.2953
2015-01-05,63,no_weather,8439.6298
2015-01-05,64,no_weather,8443.4392
2015-01-05,65,no_weather,8483.3335
2015-01-05,66,no_weather,8401.0756
2015-01-05,67,no_weather,8411.4229
2015-01-05,68,no_weather,8454.3926
2015-01-05,69,no_weather,8417.0495
2015-01-05,70,no_weather,7942.5853
2015-01-05,71,no_weather,7692.4385
2015-01-05,72,no_weather,7726.2663
2015-01-05,73,no_weather,7913.7947
2015-01-05,74,no_weather,8106.8939
2015-01-05,75,no_weather,8303.6045
2015-01-05,76,no_weather,8303.6045
2015-01-05,77,no_weather,8341.9430
2015-01-05,78,no_weather,8187.5936
2015-01-05,79,no_weather,8180.4799
2015-01-05,80,no_weather,8106.8939
2015-01-05,81,no_weather,8106.8939
2015-01-05,82,no_weather,8106.1397
2015-01-05,83,no_weather,8030.5534
