area,date,max_temp_C,min_temp_C,mean_temp_C,relative_humidity_pct,rainfall
Area1,2015-01-04,22.8,11.6,16.3,70.0,0.0
Area1,2015-01-05,23.9,16.8,19.7,77.0,0.0
Area1,2015-01-06,25.3,18.8,21.3,79.0,0.0
Area1,2015-01-07,22.1,14.6,16.3,74.0,0.0
Area1,2015-01-08,17.9,10.2,13.9,54.0,0.0
Area1,2015-01-09,17.4,11.1,14.0,53.0,0.0
Area1,2015-01-10,19.9,12.0,15.4,54.0,0.0
Area2,2015-01-04,22.0,7.6,13.5,78.0,0.0
Area2,2015-01-05,22.4,15.9,18.4,80.0,0.0
Area2,2015-01-06,24.6,17.9,20.0,86.0,0.4
Area2,2015-01-07,19.4,12.5,14.8,76.0,0.0
Area2,2015-01-08,18.1,7.6,12.2,60.0,0.0
Area2,2015-01-09,17.5,8.2,12.0,62.0,0.0
Area2,2015-01-10,19.9,9.6,13.6,59.0,0.0
